model,category,prompt_id,version,duration,time_seconds
hunyuanvideo_1_5_distilled,lifestyle,1,long,10s,210.32
hunyuanvideo_1_5_distilled,lifestyle,1,long,15s,432.08
hunyuanvideo_1_5_distilled,lifestyle,2,short,5s,61.53
hunyuanvideo_1_5_distilled,lifestyle,2,short,10s,205.62
hunyuanvideo_1_5_distilled,lifestyle,2,short,15s,428.25
hunyuanvideo_1_5_distilled,lifestyle,2,medium,5s,64.67
hunyuanvideo_1_5_distilled,lifestyle,2,medium,10s,207.96
hunyuanvideo_1_5_distilled,lifestyle,2,medium,15s,430.69
hunyuanvideo_1_5_distilled,lifestyle,2,long,5s,66.27
hunyuanvideo_1_5_distilled,lifestyle,2,long,10s,207.15
hunyuanvideo_1_5_distilled,lifestyle,2,long,15s,429.19
hunyuanvideo_1_5_distilled,lifestyle,3,short,5s,62.87
hunyuanvideo_1_5_distilled,lifestyle,3,short,10s,206.13
hunyuanvideo_1_5_distilled,lifestyle,3,short,15s,428.91
hunyuanvideo_1_5_distilled,lifestyle,3,medium,5s,63.51
hunyuanvideo_1_5_distilled,lifestyle,3,medium,10s,207.67
hunyuanvideo_1_5_distilled,lifestyle,3,medium,15s,429.21
hunyuanvideo_1_5_distilled,lifestyle,3,long,5s,65.76
hunyuanvideo_1_5_distilled,lifestyle,3,long,10s,208.02
hunyuanvideo_1_5_distilled,lifestyle,3,long,15s,428.68
hunyuanvideo_1_5_distilled,lifestyle,4,short,5s,67.99
hunyuanvideo_1_5_distilled,lifestyle,4,short,10s,207.74
hunyuanvideo_1_5_distilled,lifestyle,4,short,15s,428.6
hunyuanvideo_1_5_distilled,lifestyle,4,medium,5s,63.71
hunyuanvideo_1_5_distilled,lifestyle,4,medium,10s,213.97
hunyuanvideo_1_5_distilled,lifestyle,4,medium,15s,419.02
hunyuanvideo_1_5_distilled,lifestyle,4,long,5s,66.64
hunyuanvideo_1_5_distilled,lifestyle,4,long,10s,208.59
hunyuanvideo_1_5_distilled,lifestyle,4,long,15s,426.55
hunyuanvideo_1_5_distilled,lifestyle,5,short,5s,71.74
hunyuanvideo_1_5_distilled,lifestyle,5,short,10s,209.21
