model,category,prompt_id,variation,length,time_seconds,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,clip_score,video_path
hunyuanvideo_1_5_distilled,animal,4,short,10s,192.02,0.964081688473622,0.9095235188802083,0.9821325424600931,1.0,0.5249392986297607,59.888322189141114,0.25714612007141113,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_short_10s.mp4
hunyuanvideo_1_5_distilled,animal,4,short,15s,389.65,0.9686233864062362,0.9649603949652777,0.9832880210551843,1.0,0.5420337319374084,58.776470807780846,0.2616260349750519,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_short_15s.mp4
hunyuanvideo_1_5_distilled,animal,4,short,5s,73.43,0.9417982848982016,0.925921630859375,0.9858409276738206,1.0,0.5813184976577759,57.56788310531742,0.2761536240577698,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_short_5s.mp4
hunyuanvideo_1_5_distilled,animal,5,long,10s,195.28,0.938572476307551,0.9553721110026042,0.9972367922935956,0.0,0.4720299243927002,52.57252005422758,0.26135092973709106,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_long_10s.mp4
hunyuanvideo_1_5_distilled,animal,5,long,15s,395.65,0.9908041598068343,0.9830329047309028,0.9976814494512936,0.0,0.5296820402145386,61.44597704985135,0.2763506770133972,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_long_15s.mp4
hunyuanvideo_1_5_distilled,animal,5,long,5s,81.38,0.9462213188409805,0.9484151204427084,0.996939853602365,0.0,0.49073803424835205,54.76540302245085,0.2900608777999878,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_long_5s.mp4
hunyuanvideo_1_5_distilled,animal,5,medium,10s,194.65,0.9440620413670937,0.9688273111979167,0.9972554451774255,0.0,0.47853171825408936,59.287889108618266,0.2823854982852936,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_medium_10s.mp4
hunyuanvideo_1_5_distilled,animal,5,medium,15s,385.46,0.9863392939170201,0.9821343315972222,0.9975029592191369,0.0,0.4880225658416748,51.420793580876826,0.3119940459728241,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_medium_15s.mp4
hunyuanvideo_1_5_distilled,animal,5,medium,5s,77.83,0.962856795390447,0.97274169921875,0.9968210581374645,0.0,0.4645032584667206,55.1587708843641,0.3158886432647705,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_medium_5s.mp4
hunyuanvideo_1_5_distilled,animal,5,short,10s,196.0,0.9907180963704983,0.9782562255859375,0.9973585337847746,0.0,0.5101560950279236,50.23893956227916,0.26233142614364624,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_short_10s.mp4
hunyuanvideo_1_5_distilled,animal,5,short,15s,381.09,0.9957835750447379,0.9951992458767361,0.9977916173139186,0.0,0.5546540021896362,48.9634201916301,0.269345760345459,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_short_15s.mp4
hunyuanvideo_1_5_distilled,animal,5,short,5s,74.91,0.9824005382756392,0.9891153971354166,0.9969543481443949,0.0,0.5449532270431519,64.1457162652134,0.22935907542705536,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_5_short_5s.mp4
hunyuanvideo_1_5_distilled,architecture,1,long,10s,194.15,0.9569156253089507,0.9083180745442708,0.9937479988951822,1.0,0.42201247811317444,65.50848091093832,0.22406409680843353,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_long_10s.mp4
hunyuanvideo_1_5_distilled,architecture,1,long,15s,380.14,0.9472707841959265,0.9033399793836806,0.9930080639553422,1.0,0.29091885685920715,69.74251932582696,0.22772479057312012,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_long_15s.mp4
hunyuanvideo_1_5_distilled,architecture,1,long,5s,63.35,0.9180954940617084,0.8692057291666667,0.9955110693994924,1.0,0.5344583988189697,47.36644333453218,0.2711893916130066,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_long_5s.mp4
hunyuanvideo_1_5_distilled,architecture,1,medium,10s,194.54,0.9397231629739206,0.8930775960286458,0.9932781828921918,1.0,0.42045536637306213,62.72155617678314,0.22291165590286255,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_medium_10s.mp4
hunyuanvideo_1_5_distilled,architecture,1,medium,15s,380.73,0.9136462959150473,0.9209906684027778,0.9902313427700734,0.0,0.3406379818916321,48.11939091563555,0.1767248511314392,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_medium_15s.mp4
hunyuanvideo_1_5_distilled,architecture,1,medium,5s,60.14,0.8998970456421376,0.9255961100260417,0.9917557861096272,1.0,0.48194289207458496,72.04492855860182,0.22923988103866577,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_medium_5s.mp4
hunyuanvideo_1_5_distilled,architecture,1,short,10s,191.53,0.9444488496830066,0.9326456705729167,0.9926004187309717,1.0,0.3892824053764343,47.53936544394592,0.22219818830490112,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_short_10s.mp4
hunyuanvideo_1_5_distilled,architecture,1,short,15s,380.75,0.9673122661809127,0.9503641764322917,0.9861661149851382,0.0,0.3550044596195221,52.661448280566944,0.1674048751592636,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_short_15s.mp4
hunyuanvideo_1_5_distilled,architecture,1,short,5s,66.27,0.836156294370691,0.89886474609375,0.9949150421720504,1.0,0.38252243399620056,48.561124628240414,0.20993220806121826,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_1_short_5s.mp4
hunyuanvideo_1_5_distilled,architecture,2,long,10s,193.21,0.9385441571474076,0.9187774658203125,0.9634246928800678,1.0,0.597072958946228,65.03321686424161,0.29471611976623535,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_2_long_10s.mp4
hunyuanvideo_1_5_distilled,architecture,2,long,15s,383.55,0.9666415182252724,0.9602010091145833,0.9673900963036864,1.0,0.42419514060020447,57.454372004458776,0.2534533143043518,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_2_long_15s.mp4
hunyuanvideo_1_5_distilled,architecture,2,long,5s,63.57,0.9459630553921063,0.9455729166666667,0.9641741099484665,1.0,0.5581876635551453,59.361762874382585,0.3002093434333801,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_2_long_5s.mp4
hunyuanvideo_1_5_distilled,architecture,2,medium,10s,193.5,0.9655223327378432,0.9617543538411458,0.9559641277623718,1.0,0.49741581082344055,66.7592249351913,0.22978833317756653,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_2_medium_10s.mp4
hunyuanvideo_1_5_distilled,architecture,2,medium,15s,387.48,0.9463598666919603,0.9691616482204861,0.9335345199923364,1.0,0.4217112958431244,52.583368116468606,0.22487568855285645,/workspace/videos/hunyuanvideo_1_5_distilled/architecture/hunyuanvideo_1_5_distilled_architecture_2_medium_15s.mp4
